"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000038041",1,130000,0,0,0,0,1,111000,241000,1,"Con Ingreso Positivo"
"0000038051",1,161200,0,0,0,0,1,15300,176500,1,"Con Ingreso Positivo"
"0000039021",1,379200,0,0,0,0,1,15000,394200,1,"Con Ingreso Positivo"
"0000039031",1,528000,0,0,0,0,0,0,528000,1,"Con Ingreso Positivo"
"0000039051",1,124800,0,0,0,0,0,0,124800,1,"Con Ingreso Positivo"
"0000039052",1,62400,0,0,0,0,0,0,62400,1,"Con Ingreso Positivo"
"0000040011",1,140400,0,0,0,0,0,0,140400,1,"Con Ingreso Positivo"
"0000040012",1,104000,0,0,0,0,0,0,104000,1,"Con Ingreso Positivo"
"0000040021",1,276000,0,0,0,0,0,0,276000,1,"Con Ingreso Positivo"
"0000040031",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000040041",1,93600,1,6000,0,0,0,0,99600,1,"Con Ingreso Positivo"
"0000040051",1,132600,0,0,0,0,0,0,132600,1,"Con Ingreso Positivo"
"0000041011",1,132000,0,0,0,0,1,15000,147000,1,"Con Ingreso Positivo"
"0000041021",1,288000,0,0,0,0,0,0,288000,1,"Con Ingreso Positivo"
"0000041041",1,192000,0,0,0,0,1,339300,531300,1,"Con Ingreso Positivo"
"0000042011",1,221200,0,0,0,0,1,86400,307600,1,"Con Ingreso Positivo"
"0000042031",1,48000,0,0,0,0,1,500,48500,1,"Con Ingreso Positivo"
"0000042041",1,374400,0,0,0,0,1,6000,380400,1,"Con Ingreso Positivo"
"0000042051",1,156000,0,0,0,0,0,0,156000,1,"Con Ingreso Positivo"
"0000043011",1,360000,0,0,0,0,0,0,360000,1,"Con Ingreso Positivo"
"0000043021",1,260000,0,0,0,0,0,0,260000,1,"Con Ingreso Positivo"
"0000043031",1,417600,0,0,0,0,0,0,417600,1,"Con Ingreso Positivo"
"0000043051",1,232000,0,0,0,0,0,0,232000,1,"Con Ingreso Positivo"
"0000044021",1,0,0,0,0,0,1,31200,31200,1,"Con Ingreso Positivo"
"0000044022",1,107640,1,18000,0,0,0,0,125640,1,"Con Ingreso Positivo"
"0000044023",1,67200,0,0,0,0,0,0,67200,1,"Con Ingreso Positivo"
"0000044041",1,255200,0,0,0,0,0,0,255200,1,"Con Ingreso Positivo"
"0000044042",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000044051",1,130000,0,0,0,0,0,0,130000,1,"Con Ingreso Positivo"
"0000045011",1,72800,1,6000,0,0,0,0,78800,1,"Con Ingreso Positivo"
"0000045021",1,104000,0,0,0,0,0,0,104000,1,"Con Ingreso Positivo"
"0000045031",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000045041",1,120000,0,0,0,0,0,0,120000,1,"Con Ingreso Positivo"
"0000045051",1,0,0,0,0,0,1,30000,30000,1,"Con Ingreso Positivo"
"0000046021",1,93600,0,0,0,0,0,0,93600,1,"Con Ingreso Positivo"
